Group,Species,Frequency_Saaremaa,Perc_Saaremaa,Perc_mainland,Perc_Domination_Saaremaa,Freq_Domination_Saaremaa,Label
Terrestrial plant,Phragmites australis,19,47.5,19.9,22.5,9,
Amphibious plant,Alisma plantago-aquatica,18,45,29.3,0,0,
Amphibious plant,Mentha aquatica,17,42.5,15.4,5,2,
Amphibious plant,Sparganium erectum,15,37.5,39.9,17.5,7,
Terrestrial plant,Caltha palustris,14,35,8.6,,0,
Amphibious plant,Schoenoplectus lacustris,13,32.5,32.8,7.5,3,
Amphibious plant,Sparganium spp.,13,32.5,35.4,5,2,
Terrestrial plant,Phalaris arundinacea,13,32.5,24,5,2,
Terrestrial plant,Typha latifolia,12,30,15.2,2.5,1,
Terrestrial plant,Carex acuta,11,27.5,24.2,5,2,
Terrestrial plant,Iris pseudacorus,11,27.5,10.9,,0,
Amphibious plant,Equisetum fluviatile,10,25,38.4,0,0,
Amphibious plant,Myosotis scorpioides,10,25,28.8,0,0,
Obligate water plant,Lemna trisulca,10,25,12.4,0,0,*
Terrestrial plant,Agrostis stolonifera,10,25,12.4,2.5,1,
Amphibious plant,Veronica anagallis-aquatica,9,22.5,22.9,2.5,1,
Terrestrial plant,Epilobium hirsutum,9,22.5,5.3,,0,
Amphibious plant,Berula erecta,8,20,14.6,7.5,3,
Terrestrial plant,Lysimachia thyrsiflora,8,20,22.7,2.5,1,
Amphibious plant,Glyceria fluitans,7,17.5,5.6,2.5,1,
Amphibious plant,Hippuris vulgaris,7,17.5,14.6,2.5,1,
Obligate water plant,Potamogeton alpinus,7,17.5,9.1,10,4,
Terrestrial plant,Rumex spp.,7,17.5,,,0,
Obligate water plant,Potamogeton natans,6,15,8.8,15,6,
Terrestrial plant,Juncus articulatus,6,15,–,,0,
Obligate water plant,Lemna minor,5,12.5,20.5,2.5,1,*
Obligate water plant,Nuphar lutea,5,12.5,46.2,0,0,
Obligate water plant,Ranunculus aquatilis,5,12.5,0,0,0,
Terrestrial plant,Carex spp.,5,12.5,,,0,
Terrestrial plant,Galium palustre,5,12.5,–,2.5,1,
Terrestrial plant,Eleocharis palustris,4,10,0.3,7.5,3,
Terrestrial plant,Solanum dulcamara,4,10,11.4,2.5,1,
Amphibious plant,Cardamine amara,3,7.5,NA,NA,NA,
Amphibious plant,Sium latifolium,3,7.5,NA,NA,NA,
Obligate water plant,Potamogeton filiformis,3,7.5,NA,NA,NA,
Amphibious plant,Polygonum amphibium,2,5,NA,NA,NA,
Amphibious plant,Sagittaria sagittifolia,2,5,NA,NA,NA,
Obligate water plant,Potamogeton pectinatus,2,5,NA,NA,NA,
Amphibious plant,Schoenoplectus tabernaemontanii,1,2.5,NA,NA,NA,
Amphibious plant,Veronica beccabunga,1,2.5,NA,NA,NA,
Amphibious plant,Veronica spp.,1,2.5,NA,NA,NA,
Obligate water plant,Callitriche spp.,1,2.5,NA,NA,NA,
Obligate water plant,Myriophyllum spicatum,1,2.5,NA,NA,NA,
Obligate water plant,Oenanthe aquatica,1,2.5,NA,NA,NA,
Obligate water plant,Potamogeton berchtoldii,1,2.5,NA,NA,NA,
Obligate water plant,Potamogeton friesii,1,2.5,NA,NA,NA,
Obligate water plant,Potamogeton gramineus,1,2.5,NA,NA,NA,
